SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532718,PRATIBHA IND,T ,Q,6.70,6.70,6.59,6.59,6.59,6.93,106,109105,721204.00,
532719,BL KASHYAP  ,B ,Q,59.05,60.00,58.60,59.35,59.45,58.15,459,76349,4534653.00,
532720,M&M FINANSER,A ,Q,462.55,475.50,462.55,473.25,473.25,459.40,1166,73010,34438321.00,
532721,VISA STEEL  ,T ,Q,18.40,18.40,17.55,17.70,17.70,17.70,35,8935,159119.00,
532722,NITCO TILES ,B ,Q,104.00,116.45,103.45,115.40,115.40,102.70,4117,363464,40637837.00,
532723,MONNETPRO   ,X ,Q,12.50,12.50,12.50,12.50,12.50,12.41,2,100,1250.00,
532725,SOLAR IND   ,B ,Q,1159.95,1187.60,1151.80,1177.30,1184.75,1163.10,115,746,878631.00,
532727,ADHUNIK MET ,B ,Q,4.18,4.18,4.15,4.16,4.16,4.24,6,4358,18134.00,
532728,MALU PAPER  ,B ,Q,43.00,46.70,43.00,45.15,45.15,43.35,411,52857,2392919.00,
532729,UTTAM SUGAR ,B ,Q,146.00,157.00,145.00,150.50,149.50,144.55,182,12535,1885240.00,
532730,STL GLOBAL  ,B ,Q,16.05,16.05,15.55,15.85,16.00,16.00,15,2039,32246.00,
532732,KEWAL KIRAN ,B ,Q,1889.95,1905.00,1889.95,1905.00,1905.00,1856.00,3,12,22694.00,
532733,SUN TVNET   ,A ,Q,947.35,961.40,933.05,941.90,940.00,950.95,1146,54897,52122326.00,
532734,GODAWARI POW,B ,Q,240.00,279.30,240.00,276.70,276.70,232.75,10916,757692,203194396.00,
532735,RSYSTEMINT  ,B ,Q,43.00,46.00,43.00,45.65,45.60,43.45,262,29347,1316188.00,
532737,EMKAY GLOB F,B ,Q,211.00,225.00,211.00,219.70,218.20,213.50,293,20903,4574190.00,
532738,TANTIA CONS ,T ,Q,16.90,17.80,16.60,17.80,17.80,17.45,22,9834,170813.00,
532740,LOKESH MACH ,B ,Q,68.60,75.35,68.45,73.55,73.55,68.10,4068,216574,15902071.00,
532741,KAMDHENU    ,T ,Q,219.00,219.00,207.05,210.85,210.25,210.00,44,3696,778606.00,
532742,PAUSHAK LTD ,XT,Q,1100.00,1138.05,1079.00,1137.95,1138.05,1083.90,162,6719,7558911.00,
532744,GTN TEXTILE ,T ,Q,23.35,23.65,21.80,23.55,23.55,22.85,18,1796,41527.00,
532745,INDICAP     ,XT,Q,78.60,83.45,78.60,81.15,83.45,80.00,46,13675,1104017.00,
532746,UNITY INFRA ,T ,Q,5.50,5.65,5.41,5.45,5.45,5.45,33,7160,39405.00,
